单词,音标,释义,词根
subside,/səb'said/,vi. 平息；减弱；沉淀；坐下,-sit- = -sid-
subsidy,/'sʌbsɪdɪ/,n. 补贴；津贴；补助金,-sit- = -sid-
subsiding,/səb'saɪdɪŋ/,n. 下沉,-sit- = -sid-
subsidence,/səb'saidəns/,n. 沉降，沉淀，平息,-sit- = -sid-
subsidize,/ˈsʌbsɪdaɪz/,vt. 资助；给与奖助金；向…行贿,-sit- = -sid-
subsidized,/ˈsʌbsɪdaɪzɪd/,adj. 补贴的，补助的,-sit- = -sid-
unsubsidized,/'ʌn'sʌbsidaizd/,adj. 没有补助金的；未受资助的,-sit- = -sid-
subsidiary,/səb'sɪdɪərɪ/,adj. 附属的；辅助的 n. 子公司；辅助者,-sit- = -sid-
subsidiarity,"/səb,sɪdɪ'ɛrɪti/",n. 辅助性原则,-sit- = -sid-
subsidization,"/,sʌbsɪdɪ'zeʃən/",n. 补助；提供津贴；奖金,-sit- = -sid-
government-subsidized,/ˈgʌvənmənt-'sʌbsidaizd/,adj. 国家助学,-sit- = -sid-
dissidence,/'disidəns/,n. 意见不同，不一致，不同意，异议,-sit- = -sid-
dissident,/'disidənt/,adj. 不同意的人，持异议的,-sit- = -sid-
assiduous,/ə'sidjuəs/,adj. 刻苦的，勤奋的,-sit- = -sid-
assiduously,/ə'sidʒuəsli/,adv. 刻苦地；勤勉地,-sit- = -sid-
possess,/pə'zes/,vt. 控制；使掌握；持有；迷住；拥有，具备,-sit- = -sid-
possession,/pə'zeʃ(ə)n/,n. 拥有；财产；领地；自制；着迷,-sit- = -sid-
possessive,/pə'zesɪv/,adj. 占有的；所有的；所有格的；占有欲强的 n. 所有格,-sit- = -sid-
possessively,/pə'zesɪvli/,adv. 占有地；所属关系地,-sit- = -sid-
possessiveness,/pə'zesivnis/,n. 占有；自制力,-sit- = -sid-
possessor,/pə'zɛsɚ/,n. 持有人；所有人,-sit- = -sid-
possessory,/pə'zesərɪ/,adj. 所有的；所有者的,-sit- = -sid-
possessed,/pə'zest/,adj. 疯狂的；着魔的,-sit- = -sid-
prepossess,"/,priːpə'zes/",vt. 使先具有；预先灌输情感（或思想等） ；使…先怀偏见；先有好感,-sit- = -sid-
prepossessing,/priːpə'zesɪŋ/,adj. 给人好感的；有魅力的；引人注意的,-sit- = -sid-
unprepossessing,"/,ʌnpriːpə'zesɪŋ/",adj. 不吸引人的；不讨人喜欢的,-sit- = -sid-
self-possessed,/'selfpə'zest/,adj. 镇静的；冷静的；有自制力的,-sit- = -sid-
self-possession,/'selfpə'zeʃən/,n. 沉着，泰然自若,-sit- = -sid-
dispossess,/dɪspə'zes/,vt. 剥夺；使失去；逐出；霸占,-sit- = -sid-
dispossession,"/,dispə'zeʃən/",n. 剥夺；驱逐；强占不动产,-sit- = -sid-
dispossessed,"/,dɪspə'zɛst/",adj. 被逐出的；无依无靠的；失去产业的,-sit- = -sid-
repossess,"/,riːpə'zes/",vt. 收回；取复；重新获得,-sit- = -sid-
repossession,/'ripə'zɛʃən/,n. 恢复；取回,-sit- = -sid-
obsess,/əb'ses/,vt. 迷住，缠住；使…着迷；使…困扰,-sit- = -sid-
obsession,/əb'seʃ(ə)n/,n 着魔，迷恋，困扰人的想法,-sit- = -sid-
obsessional,/əb'sɛʃənl/,adj. 摆脱不了的,-sit- = -sid-
obsessive,/əb'sesɪv/,adj. 强迫性的；着迷的；分神的,-sit- = -sid-
obsessively,/əb'sesivli/,adv. 过分地；着迷地，着魔似地,-sit- = -sid-
obsessiveness,/əb'sesɪvnɪs/,n. 执念,-sit- = -sid-
obsessed,/əb'sest/,adj. 着迷的；无法摆脱的,-sit- = -sid-
self-obsessed,/self-əb'sest/,adj. 自我痴念的，自恋的,-sit- = -sid-
sex-obsessed,/seks-əb'sest/,adj. 性着迷的,-sit- = -sid-
assess,/ə'ses/,vt. 评定；估价；对…征税,-sit- = -sid-
assessment,/ə'sesmənt/,n. 评定；估价,-sit- = -sid-
assessor,/ə'sesə/,n. 评审员；确定税款的人；顾问,-sit- = -sid-
assessable,/ə'sesəbl/,adj. 可估价的；可评价的；可征收的；可征税的,-sit- = -sid-
self-assessed,/self-ə'ses/,adj. 自我评估的,-sit- = -sid-
self-assessment,/'selfə'sesmənt/,n. 自我评估,-sit- = -sid-
reassess,/riːə'ses/,vt. 再评价；再课税；再摊派,-sit- = -sid-
reassessment,"/,riə'sɛsmənt/",n. 重新评估；[经] 重新估价；重新考虑,-sit- = -sid-
preassessment,/pri-ə'sesmənt/,n. 预评审,-sit- = -sid-
risk-assessment,/rɪsk-ə'sesmənt/,n. [经] 风险估计，危险率估计,-sit- = -sid-
session,/'seʃ(ə)n/,n. 从事某项活动的集会（或一段时间） ；会议； （法庭的）开庭； （议会等的）开会,-sit- = -sid-
sessional,/'sɛʃənl/,adj. 开庭的；开会的；法庭的；会议的,-sit- = -sid-
intersession,"/'ɪntə,seʃən/",n. （美）学期与学期之间的短假期,-sit- = -sid-
supersede,"/,suːpə'siːd/",vt. 取代，代替；紧接着……而到来 vi. 推迟行动,-sit- = -sid-
supersession,"/,sjuːpə'seʃən/",n. 废弃；代替,-sit- = -sid-
sediment,/'sedɪm(ə)nt/,n. 沉积；沉淀物,-sit- = -sid-
sedimentary,/sedɪ'mentrɪ/,adj. 沉淀的,-sit- = -sid-
sedimentation,"/,sedɪmən'teɪʃən/",n. [矿业][物化] 沉降，[化学] 沉淀,-sit- = -sid-
sedate,/sɪ'deɪt/,adj. 安静的；沉着的 vt. 给…服镇静剂,-sit- = -sid-
sedately,/sɪ'detli/,adv. 安详地；镇静地,-sit- = -sid-
sedative,/'sedətɪv/,n. [药] 镇静剂； 能使安静的东西； 止痛药 adj. 使镇静的； 使安静的,-sit- = -sid-
sedation,/sɪ'deɪʃ(ə)n/,n. 镇静；镇静作用；镇静状态,-sit- = -sid-
sessile,/'sesaɪl/,adj. 无柄的；固着的,-sit- = -sid-
sedentary,/'sed(ə)nt(ə)rɪ/,adj. 久坐的；坐惯的；定栖的；静坐的,-sit- = -sid-
sedan,/sɪ'dæn/,n. 轿车；轿子,-sit- = -sid-
appear,/ə'pɪə/,vi. 出现；显得；似乎；出庭；登场,-pear- = -par-
appearance,/ə'pɪər(ə)ns/,n. 外貌，外观；出现，露面,-pear- = -par-
disappear,/dɪsə'pɪə/,vi. 不见；消失,-pear- = -par-
disappearance,/dɪsə'pɪərəns/,n. 消失；不见,-pear- = -par-
disappeared,/dɪsə'pɪəd/,adj. 消失的；消失了的,-pear- = -par-
reappear,/riːə'pɪə/,vi. 再出现,-pear- = -par-
reappearance,"/,riːə'pɪərəns/",n. 再现,-pear- = -par-
parent,/'pεərənt/,n. 父亲，母亲；双亲，父母,-pear- = -par-
parental,/pə'rentl/,adj. 父母的,-pear- = -par-
biparental,"/,baɪpə'rɛntl/",adj. 双亲的,-pear- = -par-
stepparent,"/'step,peərənt/",n. 继母；继父,-pear- = -par-
grandparent,/'græn(d)peər(ə)nt/,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母,-pear- = -par-
great-grandparent,"/,ɡreit'ɡrænd,pεərənt/",n. 曾祖父或曾祖母；外曾祖父或外曾祖母,-pear- = -par-
godparent,/'gɒdpeər(ə)nt/,n. 教父或教母,-pear- = -par-
parentage,/'pεərəntidʒ/,n. 出身，家系，门第,-pear- = -par-
parenting,/'peərəntɪŋ/,n. 父母对子女的养育,-pear- = -par-
one-parent,/'wʌn'pεərənt/,adj. 单亲的，只有父亲(或母亲)的,-pear- = -par-
two-parent,/'tuː'pεərənt/,adj. 双亲的,-pear- = -par-
single-parent,/'sɪŋg(ə)l-'pεərənt/,n. 单亲；单身母亲；单身父亲,-pear- = -par-
parent-adolescent,/'pεərənt-ædə'les(ə)nt/,n. 亲子,-pear- = -par-
heir-apparent,/eə-ə'pær(ə)nt/,n. 法定继承人，有确定继承权的人,-pear- = -par-
non-parental,/nɔn-'pεərənt/,adj. 非亲的,-pear- = -par-
parenthood,/'peər(ə)nthʊd/,n. 亲子关系；父母身份,-pear- = -par-
parent-child,/'pærənt tʃɛəd/,adj. 父子关系；主从关系,-pear- = -par-
apparent,/ə'pær(ə)nt/,adj. 显然的；表面上的,-pear- = -par-
apparently,/ə'pærəntlɪ/,adv. 看起来；显然；据说，听说，似乎,-pear- = -par-
apparition,/æpə'rɪʃ(ə)n/,n. 幽灵；幻影；鬼怪；离奇出现的东西,-pear- = -par-
transparent,/træn'spær(ə)nt/,adj. 透明的；显然的；坦率的；易懂的,-pear- = -par-
transparently,/'træns'pɛrəntli/,adv. 显然地，易觉察地；明亮地,-pear- = -par-
transparentize,/træns'pɛəntaɪz/,vt. 使更接近透明；使透明,-pear- = -par-
transparence,/træns'pɛəns/,n. 透明；透明度,-pear- = -par-
transparency,/træn'spær(ə)nsɪ/,n. 透明，透明度；幻灯片；有图案的玻璃,-pear- = -par-
semi-transparent,/'sem(a)i-'træns'pɛrəntli/,adj. 半透明的,-pear- = -par-
primipara,/prai'mipərə/,n. 初产妇,-pear- = -par-
primiparity,"/,praimi'pærəti/",n. 初产,-pear- = -par-
primiparous,/prai'mipərəs/,adj. 初产的,-pear- = -par-
biparous,/'bipərəs/,adj. 双生的，一产双胎的,-pear- = -par-
multiparous,/mʌl'tipərəs/,adj. 多产的，一产多胎的,-pear- = -par-
fissiparous,/fi'sipærəs/,adj. (生物)分裂生殖的，分体繁殖的,-pear- = -par-
move,/muːv/,n. 移动；步骤；迁居；策略 vi. 移动；搬家，迁移；离开,-mov- = -mob- = -mot-
moving,/'muːvɪŋ/,adj. 感人的,-mov- = -mob- = -mot-
unmoving,/ʌn'muːvɪŋ/,adj. 不感动人的；静止的,-mov- = -mob- = -mot-
movingly,/'mʊvɪŋli/,adv. 感人地，动人地,-mov- = -mob- = -mot-
moved,/muvd/,adj. 感动的；被移动的,-mov- = -mob- = -mot-
unmoved,/ʌn'muːvd/,adj. 无动于衷的；不动摇的,-mov- = -mob- = -mot-
movement,/'muːvm(ə)nt/,n. 运动,-mov- = -mob- = -mot-
mover,/'muːvə/,n. 原动力；鼓动者；搬运公司；搬家工人,-mov- = -mob- = -mot-
movable,/'muːvəb(ə)l/,adj. 活动的，可移动的,-mov- = -mob- = -mot-
unmovable,/'ʌn'mu:vəbl/,adj. 不动的；不改变的；固定的,-mov- = -mob- = -mot-
immovable,/ɪ'muːvəb(ə)l/,adj. 不动的；固定的；不改变的,-mov- = -mob- = -mot-
earthmover,"/'ɜːθ,muːvə/",n. 推土机，重型推土机,-mov- = -mob- = -mot-
countermove,/'kaʊntəmuːv/,n. 对抗手段；报复行动 vi. 采取对抗行动 vt. 采取报复手段,-mov- = -mob- = -mot-
move-in,/muːv-ɪn/,n. 移入,-mov- = -mob- = -mot-
slow-moving,/'sləu'mu:viŋ/,adj. 滞销的；动作缓慢的,-mov- = -mob- = -mot-
fast-moving,/fɑːst-'mu:viŋ/,adj. 移动迅速的,-mov- = -mob- = -mot-
quick-moving,/kwɪk-'mu:viŋ/,n. 快速移动 速动,-mov- = -mob- = -mot-
earth-moving,/ɜːθ-'mu:viŋ/,adj. 运土的,-mov- = -mob- = -mot-
remove,/rɪ'muːv/,vt. 迁移；搬迁,-mov- = -mob- = -mot-
remover,/rɪ'muːvə/,n. 去除剂；搬运工；搬家公司,-mov- = -mob- = -mot-
removal,/rɪ'muːv(ə)l/,n. 搬迁，搬走,-mov- = -mob- = -mot-
removed,/rɪ'muːvd/,adj. 远离的；隔了...代的,-mov- = -mob- = -mot-
removable,/rɪ'muːvəbl/,adj. 可移动的；可去掉的；可免职的,-mov- = -mob- = -mot-
snow-removal,/snəʊ-rɪ'muːv(ə)l/,n. 除雪；清扫积雪,-mov- = -mob- = -mot-
movie,/'muːvɪ/,n. 电影；电影院,-mov- = -mob- = -mot-
moviegoer,/'muːvɪɡəʊə(r)/,n. 常看电影的人,-mov- = -mob- = -mot-
movie-going,"/'mu:vi,ɡəuiŋ/",n. 看电影的人；adj. 常去看电影的,-mov- = -mob- = -mot-
movie-theater,/'mu:vi-'θɪətə/,n. 电影院,-mov- = -mob- = -mot-
movie-like,/'mu:vi-laɪk/,adj. 像电影那样的,-mov- = -mob- = -mot-
b-movie,"/'bi:,mu:vi/",n. 便宜的劣质电影,-mov- = -mob- = -mot-
movie-making,/'muːvɪ-'meɪkɪŋ/,n. 制片,-mov- = -mob- = -mot-
moviemaker,"/'mʊvɪ,mekɚ/",n. 电影制作人,-mov- = -mob- = -mot-
action-movie,/'ækʃ(ə)n-'mu:vi/,n. 动作片,-mov- = -mob- = -mot-
horror-movie,/'hɒrə-'mu:vi/,n. 恐怖片，惊恐片；恐怖电影,-mov- = -mob- = -mot-
silent-movie,/'saɪlənt-'mu:vi/,n. 无声电影,-mov- = -mob- = -mot-
motive,/'məʊtɪv/,n. 动机,-mov- = -mob- = -mot-
motivic,/'məʊtɪvɪk/,adj. 动机的；乐旨的,-mov- = -mob- = -mot-
motivate,/'məʊtɪveɪt/,vt. 刺激；使有动机；激发…的积极性,-mov- = -mob- = -mot-
motivated,/'motɪvetɪd/,adj. 有动机的；有积极性的,-mov- = -mob- = -mot-
motivator,/'məʊtɪveɪtə/,n. 动力；激励因素,-mov- = -mob- = -mot-
motivation,/məʊtɪ'veɪʃ(ə)n/,n. 动力,-mov- = -mob- = -mot-
motivational,"/,məʊtɪ'veɪʃənəl/",adj. 动机的；激发性的；有关动机的；动机说明,-mov- = -mob- = -mot-
self-motivated,/'self'məutiveitid/,adj. 自我激励的,-mov- = -mob- = -mot-
unmotivated,"/ʌn'motə,vetɪd/",adj. 动机不明的,-mov- = -mob- = -mot-
automotive,"/,ɔ:təu'məutiv/",adj. 自动的，机动的,-mov- = -mob- = -mot-
electro-motive,"/ɪ,lektrə'məʊtɪv/",adj. 电动的；电动势的 n. 电动火车头,-mov- = -mob- = -mot-
politically-motivated,/pə'lɪtɪkli-'motɪvetɪd/,adj. 有政治动机的,-mov- = -mob- = -mot-
promote,/prə'məʊt/,vt. 促进；提升；推销；发扬 vi. 成为王后或其他大于卒的子,-mov- = -mob- = -mot-
promoted,/prə'məʊtɪd/,adj. 晋升的,-mov- = -mob- = -mot-
promotion,/prəu'məuʃən/,n. 提升，[劳经] 晋升；推销，促销；促进；发扬，振兴,-mov- = -mob- = -mot-
promotional,/prə'məʊʃənl/,adj. 促销的；增进的；奖励的,-mov- = -mob- = -mot-
promoter,/prəu'məutə/,n. 促进者；发起人；催化剂；促进剂；启动子,-mov- = -mob- = -mot-
self-promotion,"/,selfprə'məuʃən/",n. 自我推销；自促作用,-mov- = -mob- = -mot-
health-promoting,/helθ-prə'məʊtiŋ/,n. 健康促进,-mov- = -mob- = -mot-
demote,"/,di:'məut/",vt. 使降级；使降职,-mov- = -mob- = -mot-
demotion,"/,di:'məuʃən/",n. 降级；降职；降等,-mov- = -mob- = -mot-
demotic,/dɪ'mɒtɪk/,adj. 通俗的，民众的,-mov- = -mob- = -mot-
locomote,/'ləukəməut/,vt. 移动；行动,-mov- = -mob- = -mot-
locomotive,"/'ləukə,məutiv/",adj. 移动的，运动的 n. 机车，火车头,-mov- = -mob- = -mot-
locomotion,/ləʊkə'məʊʃ(ə)n/,n. 运动；移动；旅行,-mov- = -mob- = -mot-
motion,/'məuʃən/,n. 动作；移动；手势；请求；意向；议案 vi. 运动；打手势,-mov- = -mob- = -mot-
motionless,/'məʊʃnləs/,adj. 静止的；不运动的,-mov- = -mob- = -mot-
motionlessly,/'məʊʃnləsli/,adv. 不动地,-mov- = -mob- = -mot-
motion-picture,/'məuʃən'piktʃə/,adj. 电影的,-mov- = -mob- = -mot-
slow-motion,/'sləu'məuʃən/,adj. 缓慢的；慢动作的；高速度摄影的,-mov- = -mob- = -mot-
full-motion,/fʊl-'məʊʃ(ə)n/,n. 全动态,-mov- = -mob- = -mot-
stop-motion,/stɒp-'məuʃən/,n. 单格拍制（动画片拍摄手法）,-mov- = -mob- = -mot-
emote,/ɪ'məʊt/,vi. 夸张地表现感情,-mov- = -mob- = -mot-
emotion,/ɪ'məʊʃ(ə)n/,n. 感情；情绪,-mov- = -mob- = -mot-
emotional,/ɪ'məʊʃ(ə)n(ə)l/,adj. 情绪的；易激动的；感动人的,-mov- = -mob- = -mot-
unemotional,/ʌnɪ'məʊʃ(ə)n(ə)l/,adj. 不易动感情的；非感情的；无动于衷的,-mov- = -mob- = -mot-
emotionless,/ɪ'moʃənləs/,adj. 没有情感的；不露情感的,-mov- = -mob- = -mot-
emotive,/ɪ'məʊtɪv/,adj. 感情的；情绪的；表现感情的,-mov- = -mob- = -mot-
emotivism,"/i'məuti,vizəm/",n. 情绪主义，情绪论,-mov- = -mob- = -mot-
emotionally,/ɪˈməʊʃənəli/,adv. 感情上；情绪上；令人激动地；情绪冲动地,-mov- = -mob- = -mot-
emotionality,"/ɪ,məʊʃə'nælətɪ/",n. 情绪性；感动性,-mov- = -mob- = -mot-
emotionalism,/ɪ'məʊʃənəlɪzəm/,n. 感情主义；诉诸感情；主情主义,-mov- = -mob- = -mot-
non-emotional,/ʌn-ɪ'məʊʃ(ə)n(ə)l/,adj. 不诉诸感情的；非感情的,-mov- = -mob- = -mot-
social-emotional,/'səʊʃ(ə)l-ɪ'məʊʃ(ə)n(ə)l/,adj. 社会情绪的；人际情感的,-mov- = -mob- = -mot-
socioemotional,/'səʊʃɪ'məʊʃ(ə)n(ə)l/,n. 社会性情绪,-mov- = -mob- = -mot-
remote,/rɪ'məʊt/,adj. 遥远的,-mov- = -mob- = -mot-
remotely,/rɪ'məʊtlɪ/,adv. 遥远地；偏僻地； （程度）极微地，极轻地,-mov- = -mob- = -mot-
remoteness,/rɪ'motnɪs/,n. 遥远；偏僻；细微；时间久远,-mov- = -mob- = -mot-
remote-control,/rɪ'məʊ-kən'trəʊl/,n. 遥控,-mov- = -mob- = -mot-
remote-controlled,/rɪ'məʊ-kən'trəʊld/,adj. 远距离操纵的；遥控的,-mov- = -mob- = -mot-
motor,/'məutə/,n. 发动机，机动车,-mov- = -mob- = -mot-
motoring,/'motərɪŋ/,n. 驾驶汽车；乘汽车,-mov- = -mob- = -mot-
motorist,/'məʊt(ə)rɪst/,n. 驾车旅行的人，开汽车的人,-mov- = -mob- = -mot-
motoric,/məʊ'tɔːrɪk/,adj. [生理学]肌肉运动的,-mov- = -mob- = -mot-
motorized,/'motəraɪzd/,adj. 摩托化的；机动化的,-mov- = -mob- = -mot-
non-motorized,/nɔn-'motəraɪzd/,adj. 非机动化（步行、骑自行车等方式）,-mov- = -mob- = -mot-
motorbike,/'məʊtəbaɪk/,n. 摩托车,-mov- = -mob- = -mot-
motorway,/'məʊtəweɪ/,n.（英）高速公路,-mov- = -mob- = -mot-
motormouth,/'məʊtəmaʊθ/,n. 说话快并且健谈,-mov- = -mob- = -mot-
motorcade,/'məʊtəkeɪd/,n. 汽车行列，车队,-mov- = -mob- = -mot-
motorcar,/'məʊtəkɑː/,n. （英）汽车； （美）电动车,-mov- = -mob- = -mot-
motorcoach,/'məutəkəutʃ/,n. 公共汽车,-mov- = -mob- = -mot-
motorsport,/'məʊtə-spɔːt/,n. 赛车运动；摩托车运动,-mov- = -mob- = -mot-
motorcycle,/'məʊtəsaɪk(ə)l/,n. 摩托车；机动车 vi. 骑摩托车,-mov- = -mob- = -mot-
motorcyclist,/'motɚsaɪklɪst/,n. 骑摩托车的人；乘机车者,-mov- = -mob- = -mot-
motorcycling,/'motɚsaɪklɪŋ/,n. 摩托运动,-mov- = -mob- = -mot-
motorboat,/'məʊtəbəʊt/,n. 摩托艇，汽船,-mov- = -mob- = -mot-
motorman,/'məʊtəmæn/,n. 司机,-mov- = -mob- = -mot-
motor-driven,"/'məutə,drivən/",adj. 电动的；[机] 电机驱动的，[机] 电动机拖动的,-mov- = -mob- = -mot-
motor-vehicle,"/'məutə,ˈvɪəkl/",n. 汽车；机动车辆,-mov- = -mob- = -mot-
motorhome,/'motɚhom/,n. 旅宿车,-mov- = -mob- = -mot-
servomotor,"/'sɜːvəʊ,məʊtə/",n. 伺服电动机；继动器,-mov- = -mob- = -mot-
motel,/məʊ'tel/,n. 汽车旅馆,-mov- = -mob- = -mot-
motile,/'məutail/,adj. (生物)能动的，有自动力的,-mov- = -mob- = -mot-
motility,/məʊ'tɪlətɪ/,n. 运动性；能动性；自动力,-mov- = -mob- = -mot-
mob,/mɒb/,n. 暴民，暴徒；民众；乌合之众 vt. 大举包围，围攻；蜂拥进入,-mov- = -mob- = -mot-
mobster,/'mɒbstə/,n. 匪徒；暴徒,-mov- = -mob- = -mot-
mobile,/ˈməʊbaɪl/,adj. 可移动的；机动的；易变的；非固定的 n. 运动物体,-mov- = -mob- = -mot-
mobility,/məʊ'bɪlətɪ/,n. 移动性；机动性；[电子] 迁移率,-mov- = -mob- = -mot-
mobilize,/'məʊbəlaɪz/,vt. 动员，调动；集合，组织；使…流通；使…松动 vi. 组织；动员起来,-mov- = -mob- = -mot-
mobilized,/'məʊbəlaɪzɪd/,adj. 动员了的；运动的；好动的,-mov- = -mob- = -mot-
mobilization,"/,məʊbɪlaɪ'zeɪʃən/",n. 动员；调动,-mov- = -mob- = -mot-
demobilize,/di'mobəlaɪz/,vt. 遣散；使复员；使退伍（demobilise）,-mov- = -mob- = -mot-
demobilization,"/'di,mobɪlɪ'zeʃən/",n. 复员；遣散（demobilize 的名词）,-mov- = -mob- = -mot-
automobile,/'ɔːtəməbiːl/,n. 汽车 vt. 驾驶汽车,-mov- = -mob- = -mot-
snowmobile,/'snəʊməbiːl/,n. 雪上汽车；机动雪橇,-mov- = -mob- = -mot-
bookmobile,"/'bʊkmə,biːl/",n. 流动的汽车图书馆,-mov- = -mob- = -mot-
mobile-phone,/ˈməʊbaɪl-fəʊn/,n. 手机；行动电话,-mov- = -mob- = -mot-
mobile-home,/ˈməʊbaɪ-həʊm/,n. （拖车型）活动房屋；拖车住房,-mov- = -mob- = -mot-
immobile,/ɪ'məʊbaɪl/,adj. 固定的；稳定的；不变的,-mov- = -mob- = -mot-
immobility,"/,ɪmo'bɪləti/",n. 不动，固定,-mov- = -mob- = -mot-
immobilize,/ɪ'məʊbɪlaɪz/,vt. 使固定；使不动；使停止流通,-mov- = -mob- = -mot-
immobilized,"/ɪ'mobɪ,laɪz/",adj. 固定化的,-mov- = -mob- = -mot-
immobilization,/ɪməʊbɪlʌɪˈzeɪʃ(ə)n/,n. 使停止流通，固定,-mov- = -mob- = -mot-
motif,/məʊ'tiːf/,n. 主题；动机；主旨；图形；意念,-mov- = -mob- = -mot-
commotion,/kə'məuʃən/,n. 骚动，动乱,-mov- = -mob- = -mot-
motocross,/'məʊtə(ʊ)krɒs/,n. 摩托车越野赛,-mov- = -mob- = -mot-
cover,/'kʌvə/,vt. 包括；采访，报导；涉及 n. 封面，封皮；盖子；掩蔽物；幌子，借口,-cover-
covered,/'kʌvɚd/,adj. 覆盖了的；隐蔽着的；有屋顶的,-cover-
covering,/'kʌv(ə)rɪŋ/,adj. 掩盖的，掩护的 n. 遮盖物，覆盖物,-cover-
coverage,/'kʌv(ə)rɪdʒ/,n. 覆盖，覆盖范围；新闻报道,-cover-
uncover,/ʌn'kʌvə/,vt. 发现；揭开；揭露 vi. 发现；揭示；揭去盖子,-cover-
uncovering,/ʌn'kʌvɚ/,adj. 露出的；未覆盖的,-cover-
uncovered,/ʌn'kʌvəd/,adj. 无覆盖物的；[保险] 未保险的；无盖的,-cover-
undercover,/ʌndə'kʌvə/,adj. 秘密的，秘密从事的；从事间谍活动的,-cover-
cover-up,"/'kʌvə,ʌp/",n. 掩饰；隐蔽,-cover-
hardcover,/'hɑrd'kʌvɚ/,adj. 精装的；硬书皮的 n. 精装书；硬封面的书,-cover-
softcover,"/'sɔft,kʌvɚ/",n. 软封面；平装（书）,-cover-
coveralls,/'kʌvɚ'ɔlz/,n. 衣裤相连的工作服（coverall 的复数形式）,-cover-
snow-covered,"/'snəu,kʌvəd/",adj. 被雪覆盖的,-cover-
coverlet,/'kʌvəlɪt/,n. 被单；床罩,-cover-
slipcover,"/'slɪp,kʌvə(r)/",n. 沙发套；套子；覆盖物 vt. 给…加封套,-cover-
chocolate-covered,/'tʃɒk(ə)lət-kʌvəd/,adj. 巧克力覆盖的,-cover-
groundcover,/graʊnd-kʌvəd/,n. 地被植物,-cover-
bedcover,/'bedkʌvə/,n. 床罩；被面,-cover-
moss-covered,/mɒs-kʌvəd/,adj. 布满青苔的,-cover-
ice-covered,/aɪs-kʌvəd/,adj. 冰封的,-cover-
ivy-covered,/'aɪvɪ-kʌvəd/,adj. 覆满常青藤的；常春藤覆盖的,-cover-
dust-covered,/dʌst-kʌvəd/,adj. 被灰尘覆盖的,-cover-
plastic-covered,/'plæstɪk-kʌvəd/,adj. 塑料覆盖的,-cover-
cloth-covered,/klɒθ-kʌvəd/,adj. 织物覆盖的,-cover-
slipcovered,"/'slɪp,kʌvə(r)d/",n. 沙发套；套子；覆盖物 vt. 给…加封套 adj.,-cover-
tree-covered,/triː-kʌvəd/,adj. 树覆盖的,-cover-
vine-covered,/vaɪn-kʌvəd/,adj. 藤蔓丛生的,-cover-
grass-covered,/grɑːs-kʌvəd/,adj. 草地覆盖的；草本盖率的,-cover-
leather-covered,/'leðə-kʌvəd/,adj. 覆盖皮革的,-cover-
pine-covered,/paɪn-kʌvəd/,adj. 松树林覆盖的,-cover-
lichen-covered,/'laɪk(ə)n-kʌvəd/,adj. 覆盖青苔的,-cover-
graffiti-covered,/grə'fiːtɪ-kʌvəd/,adj. 布满涂鸦的,-cover-
foil-covered,/fɔɪl-kʌvəd/,adj. 包裹锡纸的,-cover-
fabric-covered,/'fæbrɪk-kʌvəd/,adj. [纺] 织物覆盖系数,-cover-
soot-covered,/sʊt-kʌvəd/,adj. 布满煤灰的,-cover-
full-coverage,/fʊl-'kʌv(ə)rɪdʒ/,n. [保险]完全承保,-cover-
velvet-covered,/ˈvɛlvɪt-kʌvəd/,adj. 覆盖天鹅绒的,-cover-
canvas-covered,/'kænvəs-kʌvəd/,adj. 帆布覆盖的,-cover-
vinyl-covered,/'vaɪnl-kʌvəd/,adj. 乙烯塑料罩的；乙烯塑料盖的，乙烯塑料壳的,-cover-
well-covered,/'wel'kʌvəd/,adj. (人)丰满的，胖的,-cover-
non-covered,/nɔn-kʌvəd/,adj. 覆盖了的；隐蔽着的；有屋顶的,-cover-
discover,/dɪ'skʌvə/,vt. 发现；发觉,-cover-
discovery,/dɪ'skʌv(ə)rɪ/,n. 发现，发觉；被发现的事物,-cover-
discoverer,/dis'kʌvərə/,n. 发现者,-cover-
discovered,/dɪ'skʌvəd/,v. 发现，找到（discover 的过去形式）,-cover-
undiscovered,/ʌndɪ'skʌvəd/,adj. 未被发现的；未勘探的,-cover-
discoverable,/dɪs'kʌvərəbl/,adj. 发现的；显露的；泄露的,-cover-
co-discoverer,"/,kəʊdɪs'kʌvərə/",n. 共同发现者,-cover-
e-discovery,/idɪs'kʌvərə/,n. 电子取证,-cover-
self-discovery,/'selfdis'kʌvəri/,n. 自我发现,-cover-
rediscover,/riːdɪ'skʌvə/,vt. 重新发现；再发现,-cover-
rediscovery,"/,riːdɪ'skʌvərɪ/",n. 重新发现,-cover-
recover,/rɪ'kʌvə/,vt. 恢复； 弥补； 重新获得 vi. 恢复； 胜诉； 重新得球 n. 还原至预备姿势,-cover-
recovery,/rɪ'kʌv(ə)rɪ/,n. 恢复，复原；痊愈；重获,-cover-
recovered,/ri'kʌvəd/,adj. 重新找到的,-cover-
recoverable,/rɪ'kʌvərəbl/,adj. 可收回的；可恢复的；可补偿的,-cover-
unrecoverable,/ʌnrɪ'kʌv(ə)rəb(ə)l/,adj. 不可恢复的,-cover-
